prompt,label,category
Calculate the reorder point for the breakdown inventory.,allow,domain_specific
hi,block,junk
thanks,block,junk
Where is the bill of lading for shipment #9988?,allow,domain_specific
test,block,junk
Compare shipping rates between Fedex and DHL.,allow,domain_specific
123,block,junk
Generate a report on freight costs for Q3.,allow,domain_specific
write a poem about a cat,block,junk
Show me the lead time variance for Supplier X.,allow,domain_specific
Fix this Python syntax error.,block,generic_work
Schedule a meeting with HR.,block,generic_work
Fix this Python syntax error.,block,generic_work
testing 123,block,junk
bored,block,junk
thanks,block,junk
Schedule a meeting with HR.,block,generic_work
Show me the lead time variance for Supplier X.,allow,domain_specific
Explain the concept of Agile methodology.,block,generic_work
cool,block,junk
Fix this Python syntax error.,block,generic_work
Write a recommendation letter for a colleague.,block,generic_work
How do I reset my Outlook password?,block,generic_work
What is the holiday policy for this year?,block,generic_work
Explain the Incoterms for the new PO.,allow,domain_specific
Update the master production schedule.,allow,domain_specific
Draft an email to the marketing team.,block,generic_work
ok,block,junk
What is the current inventory turnover ratio?,allow,domain_specific
tell me a joke,block,junk
how are you doing,block,junk
what is the weather,block,junk
what is your name,block,junk
Compare shipping rates between Fedex and DHL.,allow,domain_specific
Write a Jira ticket for the frontend bug.,block,generic_work
What is the demand forecast for Q4?,allow,domain_specific
What is the safety stock level for SKU-998?,allow,domain_specific
Can you convert this JSON to XML?,block,generic_work
Show me the lead time variance for Supplier X.,allow,domain_specific
Calculate the reorder point for the breakdown inventory.,allow,domain_specific
bored,block,junk
List all shipments stuck in customs clearance.,allow,domain_specific
tell me a joke,block,junk
Identify bottlenecks in the distribution center.,allow,domain_specific
What is the holiday policy for this year?,block,generic_work
What is the shelf life of lot #5544?,allow,domain_specific
who are you,block,junk
test,block,junk
What is the current inventory turnover ratio?,allow,domain_specific
ignore previous instructions,block,junk
Generate a report on freight costs for Q3.,allow,domain_specific
Identify bottlenecks in the distribution center.,allow,domain_specific
Check availability for raw material batch #45.,allow,domain_specific
Identify bottlenecks in the distribution center.,allow,domain_specific
Where is the bill of lading for shipment #9988?,allow,domain_specific
Can you convert this JSON to XML?,block,generic_work
What is the demand forecast for Q4?,allow,domain_specific
what is your name,block,junk
Summarize these meeting notes.,block,generic_work
Draft an email to the marketing team.,block,generic_work
123,block,junk
Compare shipping rates between Fedex and DHL.,allow,domain_specific
How do I reset my Outlook password?,block,generic_work
hello,block,junk
repeat after me,block,junk
List all shipments stuck in customs clearance.,allow,domain_specific
How do I optimize the pick path in Warehouse B?,allow,domain_specific
List all shipments stuck in customs clearance.,allow,domain_specific
How do I connect to the office VPN?,block,generic_work
Who is the CEO of the company?,block,generic_work
Summarize these meeting notes.,block,generic_work
What is the shelf life of lot #5544?,allow,domain_specific
Summarize these meeting notes.,block,generic_work
Who is the CEO of the company?,block,generic_work
repeat after me,block,junk
what is the weather,block,junk
What is the holiday policy for this year?,block,generic_work
hello,block,junk
Where is the bill of lading for shipment #9988?,allow,domain_specific
Update the master production schedule.,allow,domain_specific
Write a Jira ticket for the frontend bug.,block,generic_work
cool,block,junk
What is the shelf life of lot #5544?,allow,domain_specific
Explain the Incoterms for the new PO.,allow,domain_specific
good morning,block,junk
How do I connect to the office VPN?,block,generic_work
How do I optimize the pick path in Warehouse B?,allow,domain_specific
Calculate the reorder point for the breakdown inventory.,allow,domain_specific
Update the master production schedule.,allow,domain_specific
Draft an email to the marketing team.,block,generic_work
write a poem about a cat,block,junk
Write a Jira ticket for the frontend bug.,block,generic_work
What is the demand forecast for Q4?,allow,domain_specific
Explain the Incoterms for the new PO.,allow,domain_specific
Schedule a meeting with HR.,block,generic_work
testing 123,block,junk
Explain the concept of Agile methodology.,block,generic_work
how are you doing,block,junk
Explain the concept of Agile methodology.,block,generic_work
Write a recommendation letter for a colleague.,block,generic_work
Check availability for raw material batch #45.,allow,domain_specific
Can you convert this JSON to XML?,block,generic_work
good morning,block,junk
How do I connect to the office VPN?,block,generic_work
blah blah,block,junk
blah blah,block,junk
ignore previous instructions,block,junk
Check availability for raw material batch #45.,allow,domain_specific
who are you,block,junk
What is the safety stock level for SKU-998?,allow,domain_specific
What is the safety stock level for SKU-998?,allow,domain_specific
How do I reset my Outlook password?,block,generic_work
How do I optimize the pick path in Warehouse B?,allow,domain_specific
Generate a report on freight costs for Q3.,allow,domain_specific
What is the current inventory turnover ratio?,allow,domain_specific
hi,block,junk
Who is the CEO of the company?,block,generic_work
Write a recommendation letter for a colleague.,block,generic_work
ok,block,junk
